gene_id	n_lists	mean_prob	sources
3091	14	0.9995	logreg_16d,logreg_256d,svm_128d,svm_256d,svm_32d,svm_512d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
1399	12	0.9990	logreg_128d,logreg_256d,logreg_64d,svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d
3551	11	1.0000	svm_128d,svm_256d,svm_512d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
8517	11	1.0000	svm_128d,svm_256d,svm_32d,svm_512d,svm_64d,tree_128d,tree_16d,tree_32d,tree_512d,tree_64d,tree_8d
997	11	1.0000	svm_128d,svm_256d,svm_32d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
3667	11	1.0000	svm_128d,svm_256d,svm_512d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
10454	11	1.0000	svm_128d,svm_256d,svm_512d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
2932	11	1.0000	svm_128d,svm_16d,svm_256d,svm_512d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_64d,tree_8d
8312	11	1.0000	svm_128d,svm_256d,svm_512d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
2475	11	0.9993	logreg_128d,logreg_64d,svm_128d,svm_256d,svm_512d,svm_64d,tree_128d,tree_16d,tree_32d,tree_64d,tree_8d
4780	10	1.0000	svm_128d,svm_256d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
1027	10	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
4361	10	1.0000	svm_128d,svm_256d,svm_512d,svm_64d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
4683	10	1.0000	svm_128d,svm_256d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
8453	10	1.0000	svm_128d,svm_256d,svm_512d,svm_64d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
1499	10	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
999	10	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
4113	10	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
5295	10	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
6654	10	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
8678	10	0.9999	logreg_256d,svm_128d,svm_256d,svm_32d,tree_128d,tree_16d,tree_32d,tree_512d,tree_64d,tree_8d
7124	10	0.9993	logreg_8d,svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_64d,tree_8d
9817	9	1.0000	svm_128d,svm_16d,svm_32d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_8d
57521	9	1.0000	svm_128d,svm_256d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
581	9	1.0000	svm_128d,svm_32d,svm_8d,tree_128d,tree_16d,tree_32d,tree_512d,tree_64d,tree_8d
23118	9	1.0000	svm_128d,svm_256d,svm_512d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
10892	9	1.0000	svm_128d,svm_256d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_64d,tree_8d
8915	9	1.0000	svm_128d,svm_256d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_64d,tree_8d
7248	9	1.0000	svm_128d,svm_256d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
2033	9	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_32d,tree_512d,tree_64d,tree_8d
836	9	1.0000	svm_128d,svm_256d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
983	9	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d
2237	9	1.0000	svm_128d,svm_256d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
10111	9	1.0000	svm_128d,svm_256d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_64d,tree_8d
7323	9	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_32d,tree_512d,tree_64d,tree_8d
5925	9	1.0000	svm_256d,svm_512d,svm_64d,tree_128d,tree_16d,tree_256d,tree_32d,tree_64d,tree_8d
6885	8	1.0000	svm_128d,svm_256d,svm_512d,tree_16d,tree_256d,tree_32d,tree_64d,tree_8d
6167	8	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_512d,tree_64d
6171	8	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_512d,tree_64d
6224	8	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_512d,tree_64d
7520	8	1.0000	svm_128d,svm_256d,svm_32d,svm_512d,tree_128d,tree_256d,tree_32d,tree_512d
891	8	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_512d,tree_64d
3024	8	1.0000	svm_128d,svm_256d,svm_512d,tree_16d,tree_32d,tree_512d,tree_64d,tree_8d
2146	8	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_16d,tree_32d,tree_512d,tree_64d
10273	8	1.0000	svm_128d,svm_256d,svm_64d,tree_128d,tree_16d,tree_32d,tree_64d,tree_8d
3308	8	1.0000	svm_128d,svm_256d,svm_64d,tree_128d,tree_16d,tree_32d,tree_64d,tree_8d
4149	8	1.0000	svm_128d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
9978	8	1.0000	svm_256d,svm_512d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
1869	8	1.0000	svm_256d,svm_512d,tree_128d,tree_16d,tree_32d,tree_512d,tree_64d,tree_8d
1977	8	1.0000	svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_64d,tree_8d
11065	8	1.0000	svm_256d,svm_512d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
29	8	1.0000	svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d
6923	8	1.0000	svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_8d
5395	8	0.9994	logreg_32d,tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
7189	7	1.0000	logreg_512d,svm_128d,svm_256d,svm_32d,svm_64d,tree_128d,tree_256d
84539	7	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_32d,tree_512d,tree_64d
7249	7	1.0000	svm_128d,tree_128d,tree_16d,tree_256d,tree_32d,tree_64d,tree_8d
8454	7	1.0000	svm_128d,svm_256d,svm_512d,tree_256d,tree_32d,tree_512d,tree_64d
1642	7	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_512d
23512	7	1.0000	svm_128d,svm_256d,svm_512d,tree_16d,tree_32d,tree_512d,tree_64d
8726	7	1.0000	svm_128d,svm_256d,tree_128d,tree_16d,tree_32d,tree_64d,tree_8d
51529	7	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_64d,tree_8d
4085	7	1.0000	svm_256d,svm_512d,tree_128d,tree_16d,tree_32d,tree_64d,tree_8d
3361	7	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_512d,tree_64d
347148	7	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_512d,tree_64d
10886	7	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_512d,tree_64d
6218	7	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_512d,tree_64d
10018	7	1.0000	tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
79728	7	1.0000	tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_64d,tree_8d
1434	7	0.9983	logreg_128d,logreg_16d,logreg_256d,logreg_32d,logreg_512d,logreg_64d,svm_64d
2547	6	1.0000	svm_128d,svm_256d,svm_512d,tree_128d,tree_32d,tree_512d
991	6	1.0000	svm_256d,tree_128d,tree_16d,tree_32d,tree_64d,tree_8d
2175	6	1.0000	svm_256d,tree_128d,tree_16d,tree_32d,tree_64d,tree_8d
128674	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_512d,tree_64d
8620	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_512d,tree_64d
3060	6	1.0000	svm_256d,svm_512d,tree_128d,tree_32d,tree_512d,tree_64d
94233	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_512d,tree_64d
57413	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_512d
259296	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_512d,tree_64d
80024	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_32d,tree_64d
2914	6	1.0000	svm_256d,svm_512d,tree_128d,tree_32d,tree_512d,tree_64d
6921	6	1.0000	svm_256d,svm_512d,tree_256d,tree_32d,tree_64d,tree_8d
8737	6	1.0000	svm_256d,svm_512d,tree_128d,tree_16d,tree_256d,tree_64d
6500	6	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_512d,tree_64d
6502	6	1.0000	svm_256d,svm_512d,tree_16d,tree_256d,tree_512d,tree_64d
5289	6	1.0000	tree_128d,tree_16d,tree_256d,tree_32d,tree_512d,tree_8d
4292	6	1.0000	tree_128d,tree_16d,tree_256d,tree_32d,tree_64d,tree_8d
2176	6	1.0000	tree_128d,tree_16d,tree_32d,tree_512d,tree_64d,tree_8d
3611	6	0.9992	logreg_128d,logreg_256d,svm_128d,svm_16d,svm_32d,svm_64d
1315	6	0.9970	logreg_128d,logreg_16d,logreg_256d,logreg_32d,logreg_64d,logreg_8d
488	6	0.9962	logreg_128d,logreg_16d,logreg_256d,logreg_32d,logreg_64d,logreg_8d
129521	5	1.0000	svm_128d,svm_256d,svm_512d,tree_32d,tree_64d
8717	5	1.0000	svm_128d,svm_16d,svm_256d,tree_128d,tree_32d
3654	5	1.0000	svm_128d,svm_256d,svm_64d,tree_256d,tree_512d
3354	5	1.0000	svm_256d,svm_512d,tree_128d,tree_256d,tree_64d
8843	5	1.0000	svm_256d,svm_512d,tree_128d,tree_512d,tree_64d
2829	5	1.0000	svm_256d,svm_512d,tree_128d,tree_32d,tree_64d
259290	5	1.0000	svm_256d,svm_512d,tree_128d,tree_32d,tree_64d
23620	5	1.0000	svm_256d,svm_512d,tree_128d,tree_512d,tree_64d
222545	5	1.0000	svm_256d,svm_512d,tree_128d,tree_512d,tree_64d
